loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
1,11 Com b,11 Com,2,1,2007,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,12.200,,,0,4914.89849,39.09289,-39.72855,0,93.1846000,1.9238000,-1.9238000
2,11 UMi b,11 UMi,1,1,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,12.300,,,0,4684.81420,794.57500,-794.57500,0,125.3210000,1.9765000,-1.9765000
3,14 And b,14 And,1,1,2008,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,13.100,,,0,1131.15130,36.23244,-38.77507,0,75.4392000,0.7140000,-0.7140000
4,14 Her b,14 Her,1,2,2002,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,12.600,,,0,2559.47216,518.69596,-280.64248,0,17.9323000,0.0073000,-0.0073000
5,16 Cyg B b,16 Cyg B,3,1,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,13.500,,,0,565.73740,25.42640,-25.42640,0,21.1397000,0.0110000,-0.0111000
6,17 Sco b,17 Sco,1,1,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,12.900,,,0,1373.01872,47.67426,-38.13941,0,124.9530000,2.5900000,-2.5900000
7,18 Del b,18 Del,2,1,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,12.500,,,0,2926.24614,50.85255,-24.47279,0,76.2220000,0.6217000,-0.6217000
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,,,,,330.000000,,,0,18.647,,,0,3000.00000,300.00000,-300.00000,0,139.1350000,1.3320000,-1.3070000
9,24 Boo b,24 Boo,1,1,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,13.900,,,0,280.64248,11.44182,-13.66662,0,95.9863000,0.6368500,-0.6368500
10,24 Sex b,24 Sex,1,2,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,13.400,,,0,632.46000,82.63000,-120.77000,0,72.0691000,0.6854000,-0.6728000
